"","NAME","Age.Group","SEX","EDU.Simplified","DEPT","CITY","HOOD","sentence","position","words","focused","tones","sentence_type","total_speakers","position_spec"
"1","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","BFD1","N","Mandarinas",NA,"L* L%","BFD",30,"N"
"2","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","BFD2","PN","Maria",NA,"L+<H*","BFD",30,"PN1"
"3","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","BFD2","PN","esta",NA,"deaccented","BFD",30,"PN2"
"4","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","BFD2","PN","comiendo",NA,"deaccented","BFD",30,"PN3"
"5","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","BFD2","N","mandarinas",NA,"L* L%","BFD",30,"N"
"6","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","BFD4","PN","Yo",NA,"L*+H","BFD",30,"PN1"
"7","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","BFD4","PN","vivi",NA,"H*","BFD",30,"PN2"
"8","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","BFD4","PN","muchos",NA,"L+H*","BFD",30,"PN3"
"9","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","BFD4","PN","anos","en","H*","BFD",30,"PN4"
"10","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","BFD4","N","San","Juan","L* L%","BFD",30,"N"
"11","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","NFD1","PN","Senora",NA,"L+H* L-","NFD",30,"PN1"
"12","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","NFD1","PN","no",NA,"H*","NFD",30,"PN2"
"13","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","NFD1","PN","quiero",NA,"L+H*","NFD",30,"PN3"
"14","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","NFD1","PN","limones",NA,"L* L-","NFD",30,"PN4"
"15","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","NFD1","PN","quiero",NA,"L+H*","NFD",30,"PN5"
"16","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","NFD1","N","naranjas","FOCUSED","L* L%","NFD",30,"N1"
"17","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","NFD2","PN","Que",NA,"H*","NFD",30,"PN1"
"18","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","NFD2","PN","rico",NA,"L+¡H*","NFD",30,"PN2"
"19","MVF20","18-35","Female","Tertiary","Montevideo","Montevideo","Piedras Blancas","NFD2","PN","olor","a","deaccented","NFD",30,"PN3"
